"time" "x" "y" "sx.a1" "sy.a1" "sx.a2" "sy.a2" "sx.b1" "sy.b1" "sx.b2" "sy.b2" "sx.c1" "sy.c1" "sx.c2" "sy.c2"
25.15 1.17498566260513 0.938562595977655 -11.6979919048331 -4.23409684774632 -0.458356261714387 -2.51063820476705 9.466651466021 3.44324467714494 0.563728060677415 3.13302123298144 10.1800695533748 3.71289500202358 0.49425747321199 2.68489858831535
25.2 1.17506023773628 0.938601110660618 -11.7040007128481 -4.23712883405724 -0.458641828335217 -2.51088446920174 9.47081243158397 3.4453844367816 0.564132317883782 3.13344634748234 10.1840102376593 3.71500555553971 0.494539090858824 2.68501705353488
25.25 1.17513442570463 0.93863942936677 -11.7099790395872 -4.24014558730488 -0.458925891456263 -2.51112941838569 9.47495110948287 3.44751279233518 0.564534564733014 3.13386920232221 10.1879273715149 3.71710364840414 0.494819066123346 2.685134719147
25.3 1.17520822847569 0.938677553023715 -11.7159270324218 -4.24314717934737 -0.459208458602151 -2.51137305950312 9.47906761412639 3.44962980168847 0.564934810590545 3.13428981027093 10.1918210882354 3.71918934957779 0.495097407989674 2.6852515911947
25.35 1.17528164800542 0.938715482555752 -11.7218448380864 -4.2461336817577 -0.459489537264311 -2.5116153996936 9.48316205938641 3.451735522462 0.565333064785656 3.13470818401106 10.1956915204243 3.72126272768639 0.495374125399108 2.68536767566257
25.4 1.1753546862403 0.938753218883873 -11.7277326026811 -4.24910516582415 -0.459769134901077 -2.51185644605251 9.48723455860002 3.45383001201489 0.56572933661152 3.13512433613871 10.1995387999984 3.7233238510215 0.495649227250249 2.6854829784776
25.45 1.17542734511733 0.938790762925748 -11.7335904716731 -4.25206170255074 -0.460047258937775 -2.51209620563135 9.49128522457153 3.45591332744565 0.566123635325246 3.13553827916439 10.2033630581902 3.72537278754156 0.495922722399126 2.6855975055099
25.5 1.17549962656412 0.938828115595724 -11.7394185898986 -4.25500336265772 -0.460323916766815 -2.51233468543821 9.49531416957445 3.45798552559296 0.566515970147921 3.13595002551381 10.207164425551 3.72740960487295 0.496194619659323 2.6857112625734
25.55 1.17557153249888 0.938865277804818 -11.7452171015654 -4.25793021658198 -0.460599115747781 -2.51257189243809 9.4993215053535 3.46004666303652 0.56690635026466 3.13635958752869 10.2109430319538 3.72943437031104 0.496464927802101 2.68582425542658
25.6 1.17564306483052 0.938902250460708 -11.7509861502539 -4.26084233447759 -0.460872863207533 -2.51280783355328 9.5033073431266 3.46209679609783 0.567294784824657 3.13676697746759 10.2146990065963 3.73144715082128 0.496733655556526 2.6859364897732
